ParcelMaster.parcelnumber,Parcels.current_taxable
06-003-3001-100,0
06-003-3001-200,0
06-003-3001-201,393960
06-003-3001-300,19385
06-003-3001-400,22459
06-003-3001-500,20015
06-003-4001-050,0
06-003-4001-150,0
06-003-4001-160,1700
06-003-4001-170,4520
06-003-4001-200,10400
06-003-4001-400,0
06-003-4001-500,1100
06-009-2001-001,47465
06-009-2001-002,43503
06-009-2001-003,46410
06-009-2001-004,0
06-009-2001-005,35176
06-009-2001-006,15536
06-009-2001-007,64209
06-009-2001-008,106257
06-009-2001-009,0
06-009-2001-010,181545
06-009-2001-011,37467
06-009-2001-012,36755
06-009-2001-013,13851
06-009-2001-014,32403
06-009-2001-015,25655
06-009-2001-018,0
06-009-2001-019,41562
06-009-2001-020,55858
06-009-2001-021,24694
06-009-2001-022,0
06-009-2001-023,0
06-009-2001-024,12400
06-009-2001-025,0
06-009-2001-026,0
06-009-2001-028,0
06-009-2001-029,0
06-009-2001-030,0
06-009-2001-031,0
06-010-1001-003,11347
06-010-1001-004,21441
06-010-1001-005,23367
06-010-1001-006,46300
06-010-1001-007,14333
06-010-1001-008,20236
06-010-1001-009,24704
06-010-1001-010,36403
06-010-1001-011,20037
06-010-2001-000,0
06-010-2001-100,0
06-010-2001-200,0
06-010-2001-300,0
06-010-2001-400,6079228
06-010-2001-500,0
06-010-2001-501,0
06-010-2001-502,0
06-010-2001-600,0
06-010-2001-700,0
06-010-4006-000,0
06-010-4006-100,0
06-011-1001-000,0
06-011-1002-000,0
06-011-1002-100,0
06-011-1002-101,0
06-011-1002-102,368550
06-011-1002-120,0
06-011-1002-200,0
06-011-1003-000,0
06-011-1003-100,0
06-011-1003-200,0
06-011-1003-300,0
06-011-1004-000,0
06-015-1001-001,0
06-015-1001-002,39130
06-015-1001-003,16065
06-015-1001-004,26834
06-015-1001-005,37002
06-015-1001-006,23641
06-015-1001-007,0
06-015-1001-008,16076
06-015-1001-009,25776
06-015-1001-010,23641
06-015-1001-011,13515
06-015-1001-012,18376
06-015-1001-013,17021
06-015-1001-014,0
06-015-1001-015,38300
06-015-1001-016,88095
06-015-1001-017,37700
06-015-1001-018,0
06-015-1001-019,0
06-015-1001-020,0
06-015-1001-021,0
06-015-2001-000,0
06-015-2001-100,0
06-015-2001-101,0
06-015-2001-102,0
06-015-2001-103,0
06-015-2001-104,0
06-015-2001-105,0
06-015-2001-106,0
06-015-2001-107,389539
06-015-2001-108,0
06-015-2001-109,0
06-015-2001-200,0
06-015-2001-300,0
06-015-2004-000,0
06-015-2005-000,0
06-015-3001-001,0
06-015-3001-002,0
06-015-3001-003,86665
06-015-3001-004,0
06-015-3001-005,0
06-015-3001-006,24696
06-015-3001-012,27630
06-016-1001-001,0
06-016-4001-001,82400
06-016-4001-002,787539
06-016-4001-003,0
06-020-0000-000,1221648
06-020-1001-000,3100
06-021-1001-002,57540
06-021-1001-003,18189
06-021-1001-004,13357
06-021-1001-005,329
06-021-1001-006,36874
06-021-1001-007,31894
06-021-1001-008,0
06-021-1001-009,0
06-021-1001-010,23865
06-021-1001-011,0
06-021-1001-012,0
06-021-1001-014,0
06-021-1001-015,0
06-021-1001-016,30234
06-021-1001-018,0
06-021-1001-019,735
06-021-1001-020,39476
06-021-1001-108,30826
06-021-1001-115,0
06-021-1001-208,11979
06-021-2001-003,0
06-021-2001-004,0
06-021-2001-005,0
06-021-2001-006,0
06-022-3001-001,34934
06-022-3001-002,54332
06-022-3001-003,51319
06-022-3001-004,46141
06-022-3001-005,122565
06-022-3001-006,0
06-022-3001-007,138138
06-026-1001-003,0
06-026-1001-004,338193
06-026-1001-005,329619
06-026-1001-006,258909
06-026-1001-007,240643
06-026-1001-008,230415
06-026-1001-009,191926
06-026-1001-010,0
06-026-1001-011,0
06-026-1001-012,0
06-026-1001-013,0
06-027-1001-001,1632009
06-027-1001-002,349506
06-027-1001-003,2208
06-027-1001-004,0
06-027-1001-005,348800
06-027-1001-006,237945
06-027-1001-007,21200
06-027-3001-001,439920
06-027-3001-002,0
06-027-3001-003,0
06-027-3001-004,0
06-027-3001-005,0
06-027-3001-006,0
06-027-3001-007,708855
06-027-3001-008,147210
06-027-3001-009,239085
06-027-3001-010,183301
06-027-3001-011,172821
06-027-3001-012,384825
06-027-3001-013,0
06-027-3001-014,0
06-027-3001-015,1815135
06-027-3001-016,837500
06-027-3001-018,251111
06-027-3001-019,0
06-027-3001-020,1678981
06-027-3001-021,0
06-027-3001-022,2054255
06-027-3001-023,15265
06-027-3001-024,35070
